,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,5,-1,0.30125,unbalanced,unbalanced,0.25758476690082105,0.30125,0.24933757929384467
1,TfIdf-max_features,RF,5,-1,0.3475,unbalanced,unbalanced,0.3442493092863364,0.3475,0.3436898854664106
2,TfIdf-max_features,NB,5,-1,0.359375,unbalanced,unbalanced,0.3324925494990433,0.359375,0.2866401957017534
3,TfIdf-max_features,SVM,25,-1,0.279375,unbalanced,unbalanced,0.2935661387144015,0.279375,0.24229478212214633
4,TfIdf-max_features,RF,25,-1,0.36375,unbalanced,unbalanced,0.36696958230693566,0.36375,0.35893494493204686
5,TfIdf-max_features,NB,25,-1,0.369375,unbalanced,unbalanced,0.324430615483237,0.369375,0.3274319710631621
6,TfIdf-max_features,SVM,45,-1,0.358125,unbalanced,unbalanced,0.39878337131118924,0.358125,0.3199811091772649
7,TfIdf-max_features,RF,45,-1,0.4175,unbalanced,unbalanced,0.4259423453706369,0.4175,0.41004830790466895
8,TfIdf-max_features,NB,45,-1,0.36,unbalanced,unbalanced,0.31320343427610686,0.36,0.3144417389072267
9,TfIdf-max_features,SVM,65,-1,0.275,unbalanced,unbalanced,0.2891209828285696,0.275,0.21688854267683827
10,TfIdf-max_features,RF,65,-1,0.41375,unbalanced,unbalanced,0.41877096729293084,0.41375,0.4039123593611991
11,TfIdf-max_features,NB,65,-1,0.366875,unbalanced,unbalanced,0.3231081638874956,0.366875,0.321195067988135
12,TfIdf-max_features,SVM,85,-1,0.259375,unbalanced,unbalanced,0.25969851515751696,0.259375,0.2041000887023727
13,TfIdf-max_features,RF,85,-1,0.4025,unbalanced,unbalanced,0.39293319871527355,0.4025,0.3902603046105202
14,TfIdf-max_features,NB,85,-1,0.37,unbalanced,unbalanced,0.34208944439649236,0.37,0.33608045000562287
15,TfIdf-max_features,SVM,100,-1,0.34625,unbalanced,unbalanced,0.4540317245489638,0.34625,0.2923904563705526
16,TfIdf-max_features,RF,100,-1,0.415625,unbalanced,unbalanced,0.4254347212418409,0.415625,0.4065697337203825
17,TfIdf-max_features,NB,100,-1,0.36,unbalanced,unbalanced,0.32832788030162774,0.36,0.32400278071375754
18,TfIdf-max_features,SVM,300,-1,0.269375,unbalanced,unbalanced,0.35162090813979574,0.269375,0.2451351088850027
19,TfIdf-max_features,RF,300,-1,0.40875,unbalanced,unbalanced,0.3994971379463745,0.40875,0.3946842422062018
20,TfIdf-max_features,NB,300,-1,0.364375,unbalanced,unbalanced,0.31911954672099435,0.364375,0.31952266137516866
21,TfIdf-max_features,SVM,500,-1,0.390625,unbalanced,unbalanced,0.3710887332061592,0.390625,0.3430683906513228
22,TfIdf-max_features,RF,500,-1,0.416875,unbalanced,unbalanced,0.43005615951350395,0.416875,0.40523300032677495
23,TfIdf-max_features,NB,500,-1,0.35875,unbalanced,unbalanced,0.3108564748862231,0.35875,0.30475167873549486
24,TfIdf-max_features,SVM,700,-1,0.373125,unbalanced,unbalanced,0.37258412029654353,0.373125,0.342111196772494
25,TfIdf-max_features,RF,700,-1,0.40875,unbalanced,unbalanced,0.40419996343794745,0.40875,0.3931774743029889
26,TfIdf-max_features,NB,700,-1,0.336875,unbalanced,unbalanced,0.26475559186853376,0.336875,0.2631342231996181
27,TfIdf-max_features,SVM,900,-1,0.384375,unbalanced,unbalanced,0.3509476674298988,0.384375,0.32431234179005
28,TfIdf-max_features,RF,900,-1,0.44125,unbalanced,unbalanced,0.45633897408841073,0.44125,0.4268988106707863
29,TfIdf-max_features,NB,900,-1,0.32125,unbalanced,unbalanced,0.2735695679432456,0.32125,0.24218889561708992
30,TfIdf-max_features,SVM,1100,-1,0.36125,unbalanced,unbalanced,0.3663987096833384,0.36125,0.31455192736966003
31,TfIdf-max_features,RF,1100,-1,0.403125,unbalanced,unbalanced,0.41198470514546814,0.403125,0.390218094131277
32,TfIdf-max_features,NB,1100,-1,0.3025,unbalanced,unbalanced,0.26271070364870897,0.3025,0.2138553326170264
33,TfIdf-max_features,SVM,1300,-1,0.248125,unbalanced,unbalanced,0.32431227895667547,0.248125,0.20014378935730423
34,TfIdf-max_features,RF,1300,-1,0.40875,unbalanced,unbalanced,0.4014638657817916,0.40875,0.39306217405789323
35,TfIdf-max_features,NB,1300,-1,0.29,unbalanced,unbalanced,0.26186918467532966,0.29,0.19442374056725797
