,0,1,2,3,4,5,6,7
0,0.21,0.07,0.0,0.14,0.06,0.52,0.0,0.0
1,0.26,0.0,0.0,0.06,0.04,0.63,0.01,0.0
2,0.15,0.04,0.0,0.0,0.01,0.79,0.01,0.0
3,0.2,0.15,0.0,0.03,0.02,0.58,0.02,0.0
4,0.29,0.07,0.0,0.09,0.04,0.51,0.0,0.0
5,0.22,0.08,0.0,0.1,0.02,0.58,0.0,0.0
6,0.16,0.1,0.0,0.35,0.04,0.35,0.0,0.0
7,0.3,0.03,0.0,0.16,0.02,0.49,0.0,0.0
8,0.2,0.04,0.0,0.1,0.03,0.62,0.01,0.0
9,0.21,0.07,0.0,0.07,0.04,0.6,0.01,0.0
10,0.12,0.08,0.0,0.09,0.02,0.68,0.01,0.0
11,0.12,0.02,0.0,0.04,0.01,0.79,0.02,0.0
12,0.09,0.05,0.0,0.09,0.04,0.73,0.0,0.0
13,0.16,0.08,0.0,0.06,0.04,0.66,0.0,0.0
14,0.14,0.04,0.0,0.08,0.02,0.72,0.0,0.0
15,0.23,0.09,0.0,0.09,0.06,0.51,0.02,0.0
16,0.07,0.02,0.0,0.06,0.07,0.78,0.0,0.0
17,0.34,0.04,0.0,0.11,0.01,0.49,0.0,0.01
18,0.18,0.07,0.0,0.1,0.04,0.59,0.01,0.01
19,0.11,0.05,0.0,0.17,0.03,0.61,0.03,0.0
20,0.4,0.07,0.0,0.17,0.04,0.32,0.0,0.0
21,0.13,0.02,0.0,0.12,0.02,0.71,0.0,0.0
22,0.16,0.02,0.0,0.16,0.04,0.62,0.0,0.0
23,0.17,0.07,0.0,0.07,0.03,0.66,0.0,0.0
24,0.2,0.07,0.0,0.15,0.04,0.54,0.0,0.0
25,0.22,0.07,0.01,0.14,0.03,0.52,0.01,0.0
26,0.09,0.06,0.0,0.1,0.04,0.71,0.0,0.0
27,0.17,0.05,0.0,0.08,0.02,0.68,0.0,0.0
28,0.23,0.04,0.0,0.06,0.03,0.64,0.0,0.0
29,0.13,0.06,0.0,0.09,0.0,0.69,0.03,0.0
30,0.41,0.0,0.0,0.33,0.02,0.24,0.0,0.0
31,0.12,0.04,0.0,0.07,0.03,0.72,0.02,0.0
32,0.16,0.09,0.0,0.05,0.03,0.66,0.0,0.01
33,0.29,0.05,0.0,0.2,0.05,0.39,0.01,0.01
34,0.2,0.04,0.0,0.19,0.03,0.53,0.01,0.0
35,0.06,0.0,0.0,0.12,0.0,0.82,0.0,0.0
36,0.25,0.04,0.0,0.04,0.07,0.58,0.02,0.0
37,0.18,0.05,0.0,0.1,0.03,0.63,0.01,0.0
38,0.17,0.06,0.0,0.18,0.01,0.58,0.0,0.0
39,0.16,0.09,0.0,0.08,0.06,0.61,0.0,0.0
40,0.34,0.29,0.0,0.11,0.02,0.23,0.01,0.0
41,0.27,0.09,0.0,0.13,0.03,0.47,0.01,0.0
42,0.23,0.04,0.0,0.17,0.02,0.53,0.01,0.0
43,0.13,0.04,0.0,0.04,0.04,0.74,0.01,0.0
44,0.23,0.05,0.0,0.13,0.03,0.55,0.01,0.0
45,0.13,0.03,0.01,0.15,0.03,0.64,0.01,0.0
46,0.21,0.05,0.0,0.12,0.05,0.56,0.01,0.0
47,0.26,0.11,0.0,0.05,0.03,0.55,0.0,0.0
48,0.11,0.05,0.0,0.11,0.01,0.71,0.01,0.0
49,0.12,0.09,0.0,0.1,0.02,0.67,0.0,0.0
50,0.06,0.04,0.0,0.1,0.03,0.75,0.02,0.0
51,0.05,0.01,0.0,0.15,0.02,0.77,0.0,0.0
52,0.2,0.06,0.0,0.11,0.04,0.58,0.01,0.0
53,0.16,0.06,0.01,0.04,0.03,0.7,0.0,0.0
54,0.11,0.01,0.0,0.09,0.02,0.77,0.0,0.0
55,0.19,0.07,0.0,0.15,0.03,0.55,0.01,0.0
56,0.2,0.06,0.0,0.21,0.01,0.51,0.01,0.0
57,0.1,0.02,0.0,0.05,0.0,0.81,0.02,0.0
58,0.05,0.15,0.0,0.2,0.0,0.6,0.0,0.0
59,0.03,0.01,0.0,0.01,0.0,0.03,0.0,0.92
60,0.29,0.05,0.02,0.11,0.05,0.48,0.0,0.0
61,0.2,0.09,0.0,0.23,0.01,0.44,0.02,0.01
62,0.15,0.06,0.0,0.09,0.02,0.68,0.0,0.0
63,0.03,0.03,0.0,0.32,0.0,0.61,0.01,0.0
64,0.44,0.05,0.0,0.01,0.01,0.49,0.0,0.0
65,0.26,0.03,0.05,0.07,0.01,0.57,0.01,0.0
66,0.17,0.04,0.0,0.11,0.01,0.64,0.03,0.0
67,0.0,0.0,0.98,0.0,0.0,0.01,0.0,0.01
68,0.13,0.1,0.01,0.03,0.03,0.69,0.01,0.0
69,0.15,0.07,0.01,0.17,0.03,0.56,0.01,0.0
70,0.19,0.06,0.0,0.13,0.04,0.58,0.0,0.0
71,0.27,0.07,0.0,0.06,0.03,0.56,0.01,0.0
72,0.12,0.04,0.0,0.05,0.03,0.75,0.0,0.01
73,0.13,0.03,0.01,0.09,0.03,0.7,0.0,0.01
74,0.15,0.04,0.0,0.07,0.03,0.71,0.0,0.0
75,0.17,0.08,0.0,0.07,0.01,0.66,0.01,0.0
76,0.3,0.09,0.0,0.12,0.04,0.44,0.01,0.0
77,0.28,0.08,0.0,0.09,0.03,0.5,0.0,0.02
78,0.03,0.24,0.0,0.13,0.01,0.48,0.11,0.0
79,0.22,0.05,0.0,0.08,0.02,0.63,0.0,0.0
80,0.11,0.03,0.0,0.05,0.02,0.79,0.0,0.0
81,0.21,0.04,0.0,0.11,0.01,0.62,0.01,0.0
82,0.23,0.0,0.0,0.05,0.01,0.71,0.0,0.0
83,0.2,0.06,0.0,0.08,0.03,0.62,0.01,0.0
84,0.11,0.23,0.0,0.09,0.02,0.55,0.0,0.0
85,0.24,0.07,0.0,0.12,0.05,0.51,0.01,0.0
86,0.18,0.07,0.0,0.05,0.02,0.68,0.0,0.0
87,0.14,0.02,0.0,0.08,0.03,0.71,0.01,0.01
88,0.25,0.1,0.0,0.15,0.02,0.47,0.01,0.0
89,0.14,0.0,0.0,0.03,0.0,0.83,0.0,0.0
90,0.2,0.08,0.0,0.09,0.03,0.59,0.01,0.0
91,0.2,0.05,0.0,0.09,0.03,0.62,0.0,0.01
92,0.1,0.04,0.0,0.04,0.02,0.8,0.0,0.0
93,0.16,0.08,0.0,0.1,0.04,0.62,0.0,0.0
94,0.2,0.08,0.0,0.19,0.04,0.49,0.0,0.0
95,0.28,0.08,0.0,0.11,0.01,0.51,0.01,0.0
96,0.16,0.1,0.0,0.08,0.04,0.61,0.01,0.0
97,0.25,0.09,0.0,0.09,0.0,0.52,0.05,0.0
98,0.11,0.04,0.01,0.11,0.0,0.73,0.0,0.0
99,0.32,0.05,0.0,0.08,0.02,0.52,0.01,0.0
100,0.19,0.04,0.0,0.17,0.02,0.58,0.0,0.0
101,0.15,0.08,0.0,0.07,0.04,0.65,0.01,0.0
102,0.3,0.05,0.0,0.16,0.02,0.45,0.02,0.0
103,0.16,0.02,0.56,0.01,0.0,0.21,0.0,0.04
104,0.0,0.33,0.01,0.0,0.0,0.66,0.0,0.0
105,0.24,0.1,0.0,0.09,0.0,0.55,0.01,0.01
106,0.11,0.04,0.0,0.04,0.01,0.79,0.0,0.01
107,0.17,0.03,0.0,0.06,0.04,0.68,0.01,0.01
108,0.15,0.06,0.0,0.07,0.0,0.71,0.01,0.0
109,0.21,0.0,0.01,0.05,0.1,0.63,0.0,0.0
110,0.19,0.03,0.0,0.08,0.05,0.63,0.02,0.0
111,0.17,0.05,0.0,0.1,0.04,0.63,0.01,0.0
112,0.26,0.1,0.0,0.09,0.0,0.55,0.0,0.0
113,0.18,0.08,0.0,0.0,0.0,0.74,0.0,0.0
114,0.16,0.1,0.0,0.07,0.05,0.59,0.03,0.0
115,0.17,0.07,0.0,0.04,0.02,0.69,0.01,0.0
116,0.16,0.06,0.0,0.09,0.01,0.68,0.0,0.0
117,0.15,0.03,0.0,0.06,0.06,0.7,0.0,0.0
118,0.2,0.06,0.0,0.07,0.01,0.65,0.01,0.0
119,0.25,0.03,0.0,0.16,0.03,0.52,0.01,0.0
120,0.09,0.11,0.0,0.05,0.02,0.72,0.01,0.0
121,0.19,0.01,0.0,0.04,0.03,0.73,0.0,0.0
122,0.28,0.11,0.0,0.12,0.03,0.44,0.02,0.0
123,0.17,0.1,0.0,0.14,0.04,0.55,0.0,0.0
124,0.27,0.03,0.0,0.17,0.03,0.5,0.0,0.0
125,0.17,0.05,0.0,0.1,0.02,0.66,0.0,0.0
126,0.24,0.06,0.0,0.08,0.04,0.57,0.01,0.0
127,0.31,0.03,0.0,0.13,0.08,0.43,0.01,0.01
128,0.06,0.22,0.0,0.06,0.04,0.61,0.01,0.0
129,0.18,0.06,0.0,0.08,0.04,0.62,0.01,0.01
130,0.18,0.03,0.0,0.05,0.0,0.73,0.01,0.0
131,0.17,0.05,0.0,0.1,0.03,0.64,0.01,0.0
132,0.17,0.04,0.0,0.12,0.04,0.63,0.0,0.0
133,0.23,0.02,0.01,0.14,0.08,0.51,0.01,0.0
134,0.18,0.03,0.0,0.14,0.04,0.61,0.0,0.0
135,0.18,0.62,0.0,0.08,0.0,0.12,0.0,0.0
136,0.19,0.02,0.0,0.09,0.01,0.69,0.0,0.0
137,0.29,0.04,0.0,0.12,0.03,0.5,0.01,0.01
138,0.17,0.05,0.0,0.06,0.02,0.69,0.01,0.0
139,0.23,0.04,0.0,0.1,0.03,0.6,0.0,0.0
140,0.2,0.07,0.0,0.1,0.03,0.6,0.0,0.0
141,0.19,0.06,0.0,0.11,0.05,0.57,0.01,0.01
142,0.14,0.02,0.0,0.1,0.05,0.67,0.02,0.0
143,0.22,0.06,0.0,0.16,0.03,0.52,0.01,0.0
144,0.0,0.0,0.97,0.0,0.0,0.02,0.0,0.01
145,0.25,0.04,0.0,0.13,0.02,0.56,0.0,0.0
146,0.21,0.09,0.0,0.09,0.01,0.6,0.0,0.0
147,0.21,0.03,0.0,0.08,0.06,0.61,0.0,0.01
148,0.25,0.03,0.0,0.18,0.02,0.5,0.01,0.01
149,0.19,0.02,0.0,0.23,0.01,0.54,0.01,0.0
150,0.12,0.05,0.0,0.04,0.02,0.75,0.02,0.0
151,0.07,0.0,0.0,0.05,0.02,0.86,0.0,0.0
152,0.32,0.03,0.0,0.06,0.01,0.57,0.0,0.01
153,0.22,0.05,0.0,0.05,0.03,0.64,0.01,0.0
154,0.11,0.03,0.01,0.09,0.03,0.31,0.02,0.4
155,0.06,0.0,0.0,0.06,0.0,0.88,0.0,0.0
156,0.17,0.06,0.0,0.07,0.01,0.69,0.0,0.0
157,0.21,0.13,0.0,0.02,0.02,0.6,0.02,0.0
158,0.21,0.06,0.0,0.06,0.05,0.61,0.01,0.0
159,0.29,0.04,0.0,0.06,0.06,0.54,0.01,0.0
160,0.16,0.11,0.0,0.1,0.03,0.6,0.0,0.0
161,0.13,0.08,0.01,0.17,0.02,0.59,0.0,0.0
162,0.08,0.04,0.0,0.05,0.01,0.82,0.0,0.0
