,method,model,n_components,n_neighbors,accuracy,train,test
0,PCA,SVC,3,10,0.165625,balanced,balanced
1,PCA,SVC,3,10,0.03981220657276995,balanced,unbalanced
2,PCA,RF,3,10,0.16125,balanced,balanced
3,PCA,RF,3,10,0.03981220657276995,balanced,unbalanced
4,PCA,NB,3,10,0.125,balanced,balanced
5,PCA,NB,3,10,0.03981220657276995,balanced,unbalanced
6,PCA,SVC,3,5,0.10625,balanced,balanced
7,PCA,SVC,3,5,0.20461435278336687,balanced,unbalanced
8,PCA,RF,3,5,0.230625,balanced,balanced
9,PCA,RF,3,5,0.20461435278336687,balanced,unbalanced
10,PCA,NB,3,5,0.241875,balanced,balanced
11,PCA,NB,3,5,0.20461435278336687,balanced,unbalanced
12,PCA,SVC,3,5,0.11125,unbalanced,balanced
13,PCA,SVC,3,5,0.4148088531187123,unbalanced,unbalanced
14,PCA,RF,3,5,0.118125,unbalanced,balanced
15,PCA,RF,3,5,0.4148088531187123,unbalanced,unbalanced
16,PCA,NB,3,5,0.135,unbalanced,balanced
17,PCA,NB,3,5,0.4148088531187123,unbalanced,unbalanced
18,PCA,SVC,13,5,0.135,balanced,balanced
19,PCA,SVC,13,5,0.06862508383635144,balanced,unbalanced
20,PCA,RF,13,5,0.38375,balanced,balanced
21,PCA,RF,13,5,0.06862508383635144,balanced,unbalanced
22,PCA,NB,13,5,0.34875,balanced,balanced
23,PCA,NB,13,5,0.06862508383635144,balanced,unbalanced
24,PCA,SVC,13,5,0.12875,unbalanced,balanced
25,PCA,SVC,13,5,0.43852448021462104,unbalanced,unbalanced
26,PCA,RF,13,5,0.14875,unbalanced,balanced
27,PCA,RF,13,5,0.43852448021462104,unbalanced,unbalanced
28,PCA,NB,13,5,0.1825,unbalanced,balanced
29,PCA,NB,13,5,0.43852448021462104,unbalanced,unbalanced
30,PCA,SVC,23,5,0.1475,balanced,balanced
31,PCA,SVC,23,5,0.0881287726358149,balanced,unbalanced
32,PCA,RF,23,5,0.366875,balanced,balanced
33,PCA,RF,23,5,0.0881287726358149,balanced,unbalanced
34,PCA,NB,23,5,0.34625,balanced,balanced
35,PCA,NB,23,5,0.0881287726358149,balanced,unbalanced
36,PCA,SVC,23,5,0.1675,unbalanced,balanced
37,PCA,SVC,23,5,0.5007914151576124,unbalanced,unbalanced
38,PCA,RF,23,5,0.1375,unbalanced,balanced
39,PCA,RF,23,5,0.5007914151576124,unbalanced,unbalanced
40,PCA,NB,23,5,0.200625,unbalanced,balanced
41,PCA,NB,23,5,0.5007914151576124,unbalanced,unbalanced
42,PCA,SVC,33,5,0.3225,balanced,balanced
43,PCA,SVC,33,5,0.11530516431924882,balanced,unbalanced
44,PCA,RF,33,5,0.365,balanced,balanced
45,PCA,RF,33,5,0.11530516431924882,balanced,unbalanced
46,PCA,NB,33,5,0.296875,balanced,balanced
47,PCA,NB,33,5,0.11530516431924882,balanced,unbalanced
48,PCA,SVC,33,5,0.193125,unbalanced,balanced
49,PCA,SVC,33,5,0.5441448692152917,unbalanced,unbalanced
50,PCA,RF,33,5,0.13125,unbalanced,balanced
51,PCA,RF,33,5,0.5441448692152917,unbalanced,unbalanced
52,PCA,NB,33,5,0.206875,unbalanced,balanced
53,PCA,NB,33,5,0.5441448692152917,unbalanced,unbalanced
54,PCA,SVC,43,5,0.1225,balanced,balanced
55,PCA,SVC,43,5,0.34779342723004697,balanced,unbalanced
56,PCA,RF,43,5,0.375,balanced,balanced
57,PCA,RF,43,5,0.34779342723004697,balanced,unbalanced
58,PCA,NB,43,5,0.275625,balanced,balanced
59,PCA,NB,43,5,0.34779342723004697,balanced,unbalanced
60,PCA,SVC,43,5,0.11875,unbalanced,balanced
61,PCA,SVC,43,5,0.4093360160965795,unbalanced,unbalanced
62,PCA,RF,43,5,0.13375,unbalanced,balanced
63,PCA,RF,43,5,0.4093360160965795,unbalanced,unbalanced
64,PCA,NB,43,5,0.206875,unbalanced,balanced
65,PCA,NB,43,5,0.4093360160965795,unbalanced,unbalanced
