,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,100,-1,0.343125,balanced,balanced,0.4129517583719236,0.343125,0.3036478391902343
1,TfIdf-max_features,RF,100,-1,0.40125,balanced,balanced,0.4073845246343655,0.40125,0.3931250795704856
2,TfIdf-max_features,NB,100,-1,0.38625,balanced,balanced,0.3599191976047898,0.38625,0.3550325182923366
3,TfIdf-max_features,SVM,200,-1,0.320625,balanced,balanced,0.288531284606866,0.320625,0.2531819174273819
4,TfIdf-max_features,RF,200,-1,0.405,balanced,balanced,0.4181964865082515,0.405,0.3969697175784003
5,TfIdf-max_features,NB,200,-1,0.385,balanced,balanced,0.349593977029448,0.385,0.3466232922003947
6,TfIdf-max_features,SVM,300,-1,0.3825,balanced,balanced,0.3423874494419621,0.3825,0.3203578884348916
7,TfIdf-max_features,RF,300,-1,0.400625,balanced,balanced,0.4250819090659248,0.400625,0.3928315051739359
8,TfIdf-max_features,NB,300,-1,0.380625,balanced,balanced,0.3391136093464906,0.380625,0.335262598456009
9,TfIdf-max_features,SVM,400,-1,0.2725,balanced,balanced,0.3556995632898829,0.2725,0.2202569858192937
10,TfIdf-max_features,RF,400,-1,0.401875,balanced,balanced,0.4087817133263458,0.401875,0.3909329692788911
11,TfIdf-max_features,NB,400,-1,0.384375,balanced,balanced,0.3415098870199509,0.384375,0.3356615344195909
12,TfIdf-max_features,SVM,500,-1,0.306875,balanced,balanced,0.3848884777384696,0.306875,0.285465869255152
13,TfIdf-max_features,RF,500,-1,0.416875,balanced,balanced,0.428222574948616,0.416875,0.4060508503407078
14,TfIdf-max_features,NB,500,-1,0.384375,balanced,balanced,0.3505878618959134,0.384375,0.3323180055213474
15,TfIdf-max_features,SVM,600,-1,0.34875,balanced,balanced,0.372949720198944,0.34875,0.2992076129590498
16,TfIdf-max_features,RF,600,-1,0.41625,balanced,balanced,0.4357678136329354,0.41625,0.4050123890991359
17,TfIdf-max_features,NB,600,-1,0.374375,balanced,balanced,0.3416331784365674,0.374375,0.3153735756365832
18,TfIdf-max_features,SVM,700,-1,0.38625,balanced,balanced,0.3814031344217409,0.38625,0.3585056836764584
19,TfIdf-max_features,RF,700,-1,0.419375,balanced,balanced,0.4455798303802624,0.419375,0.4087668044906428
20,TfIdf-max_features,NB,700,-1,0.3575,balanced,balanced,0.3305126151464387,0.3575,0.2946808075877714
21,TfIdf-max_features,SVM,800,-1,0.259375,balanced,balanced,0.2929330530824379,0.259375,0.1992704666112016
22,TfIdf-max_features,RF,800,-1,0.405625,balanced,balanced,0.4317822504402062,0.405625,0.396432923032169
23,TfIdf-max_features,NB,800,-1,0.343125,balanced,balanced,0.3151026853575052,0.343125,0.2715930608632854
24,TfIdf-max_features,SVM,900,-1,0.35375,balanced,balanced,0.4115755286839249,0.35375,0.3233216379134356
25,TfIdf-max_features,RF,900,-1,0.41375,balanced,balanced,0.4308431820780931,0.41375,0.4033460427056584
26,TfIdf-max_features,NB,900,-1,0.330625,balanced,balanced,0.3121921492626924,0.330625,0.2544850309709122
27,TfIdf-max_features,SVM,1000,-1,0.310625,balanced,balanced,0.3125901350046565,0.310625,0.2635116182739526
28,TfIdf-max_features,RF,1000,-1,0.406875,balanced,balanced,0.419120834818814,0.406875,0.3963159510893622
29,TfIdf-max_features,NB,1000,-1,0.319375,balanced,balanced,0.2956186143278106,0.319375,0.2384596584165882
30,TfIdf-max_features,SVM,1100,-1,0.318125,balanced,balanced,0.4695013922048944,0.318125,0.2803332657712254
31,TfIdf-max_features,RF,1100,-1,0.404375,balanced,balanced,0.4148332399330272,0.404375,0.3911929449769677
32,TfIdf-max_features,NB,1100,-1,0.31625,balanced,balanced,0.3104729343131162,0.31625,0.2337531830157819
33,TfIdf-max_features,SVM,1200,-1,0.3675,balanced,balanced,0.4297168932723744,0.3675,0.3135498700574456
34,TfIdf-max_features,RF,1200,-1,0.414375,balanced,balanced,0.4378449791287993,0.414375,0.4034119585473174
35,TfIdf-max_features,NB,1200,-1,0.305625,balanced,balanced,0.3015702563908349,0.305625,0.2180595339064732
36,TfIdf-max_features,SVM,1300,-1,0.328125,balanced,balanced,0.4337415302896433,0.328125,0.2618391520853231
37,TfIdf-max_features,RF,1300,-1,0.42,balanced,balanced,0.4464318666213262,0.42,0.4074021241433591
38,TfIdf-max_features,NB,1300,-1,0.3,balanced,balanced,0.2993229490606743,0.3,0.2101857294264871
39,TfIdf-max_features,SVM,1400,-1,0.29625,balanced,balanced,0.5161937719048018,0.29625,0.2368224783393965
40,TfIdf-max_features,RF,1400,-1,0.41375,balanced,balanced,0.4346232190738451,0.41375,0.4018222790554769
41,TfIdf-max_features,NB,1400,-1,0.2975,balanced,balanced,0.3225769043078354,0.2975,0.2078243794246259
42,TfIdf-max_features,SVM,1500,-1,0.3725,balanced,balanced,0.398868673387491,0.3725,0.3365781211102338
43,TfIdf-max_features,RF,1500,-1,0.4125,balanced,balanced,0.4327740807018536,0.4125,0.4010948819712166
44,TfIdf-max_features,NB,1500,-1,0.28625,balanced,balanced,0.2924060952760328,0.28625,0.1917470726821646
45,TfIdf-max_features,SVM,5,-1,0.221875,balanced,balanced,0.32705507634402536,0.221875,0.18834114949443453
46,TfIdf-max_features,RF,5,-1,0.34875,balanced,balanced,0.344379358505576,0.34875,0.3442059361499981
47,TfIdf-max_features,NB,5,-1,0.37,balanced,balanced,0.3551739878642053,0.37,0.31429505685062203
48,TfIdf-max_features,SVM,10,-1,0.243125,balanced,balanced,0.26237227845683725,0.243125,0.18427533093461265
49,TfIdf-max_features,RF,10,-1,0.350625,balanced,balanced,0.3472729308846489,0.350625,0.3451488250938364
50,TfIdf-max_features,NB,10,-1,0.37625,balanced,balanced,0.34155233737701773,0.37625,0.3298217966956518
51,TfIdf-max_features,SVM,15,-1,0.281875,balanced,balanced,0.2756158599600059,0.281875,0.2425895361736106
52,TfIdf-max_features,RF,15,-1,0.349375,balanced,balanced,0.35001468703562677,0.349375,0.34552003142822335
53,TfIdf-max_features,NB,15,-1,0.3625,balanced,balanced,0.3212640923267529,0.3625,0.3207788403104758
54,TfIdf-max_features,SVM,20,-1,0.30375,balanced,balanced,0.2995600213955524,0.30375,0.2681404374978474
55,TfIdf-max_features,RF,20,-1,0.369375,balanced,balanced,0.37297776288393514,0.369375,0.36477583737857183
56,TfIdf-max_features,NB,20,-1,0.364375,balanced,balanced,0.3137485894909916,0.364375,0.3238494118375202
57,TfIdf-max_features,SVM,25,-1,0.279375,balanced,balanced,0.2627800158858641,0.279375,0.21938942409883444
58,TfIdf-max_features,RF,25,-1,0.369375,balanced,balanced,0.3734209611451162,0.369375,0.3647153379961496
59,TfIdf-max_features,NB,25,-1,0.3625,balanced,balanced,0.31338548115303816,0.3625,0.3266214925978076
60,TfIdf-max_features,SVM,30,-1,0.329375,balanced,balanced,0.315552935451719,0.329375,0.2897933578546948
61,TfIdf-max_features,RF,30,-1,0.36875,balanced,balanced,0.3738187143542865,0.36875,0.36411317183119735
62,TfIdf-max_features,NB,30,-1,0.36,balanced,balanced,0.3142546995867198,0.36,0.3242512505680341
63,TfIdf-max_features,SVM,35,-1,0.325,balanced,balanced,0.3050756169444682,0.325,0.2848449012764855
64,TfIdf-max_features,RF,35,-1,0.38875,balanced,balanced,0.39378489969839725,0.38875,0.38234199459023943
65,TfIdf-max_features,NB,35,-1,0.36375,balanced,balanced,0.31768379530867075,0.36375,0.32617870111307323
66,TfIdf-max_features,SVM,40,-1,0.27875,balanced,balanced,0.2744342496793052,0.27875,0.24330923900351986
67,TfIdf-max_features,RF,40,-1,0.391875,balanced,balanced,0.4032747661727314,0.391875,0.3883519964688382
68,TfIdf-max_features,NB,40,-1,0.36875,balanced,balanced,0.3210109450421886,0.36875,0.32941715964260254
