,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,100,-1,0.343125,balanced,balanced,0.4129517583719236,0.343125,0.30364783919023436
1,TfIdf-max_features,RF,100,-1,0.40125,balanced,balanced,0.4073845246343655,0.40125,0.3931250795704856
2,TfIdf-max_features,NB,100,-1,0.38625,balanced,balanced,0.35991919760478985,0.38625,0.3550325182923366
3,TfIdf-max_features,SVM,200,-1,0.320625,balanced,balanced,0.288531284606866,0.320625,0.25318191742738194
4,TfIdf-max_features,RF,200,-1,0.405,balanced,balanced,0.41819648650825153,0.405,0.3969697175784003
5,TfIdf-max_features,NB,200,-1,0.385,balanced,balanced,0.349593977029448,0.385,0.3466232922003947
6,TfIdf-max_features,SVM,300,-1,0.3825,balanced,balanced,0.34238744944196214,0.3825,0.32035788843489166
7,TfIdf-max_features,RF,300,-1,0.400625,balanced,balanced,0.4250819090659248,0.400625,0.39283150517393595
8,TfIdf-max_features,NB,300,-1,0.380625,balanced,balanced,0.3391136093464906,0.380625,0.33526259845600903
9,TfIdf-max_features,SVM,400,-1,0.2725,balanced,balanced,0.3556995632898829,0.2725,0.22025698581929373
10,TfIdf-max_features,RF,400,-1,0.401875,balanced,balanced,0.4087817133263458,0.401875,0.39093296927889115
11,TfIdf-max_features,NB,400,-1,0.384375,balanced,balanced,0.3415098870199509,0.384375,0.3356615344195909
12,TfIdf-max_features,SVM,500,-1,0.306875,balanced,balanced,0.3848884777384696,0.306875,0.28546586925515205
13,TfIdf-max_features,RF,500,-1,0.416875,balanced,balanced,0.42822257494861604,0.416875,0.4060508503407078
14,TfIdf-max_features,NB,500,-1,0.384375,balanced,balanced,0.35058786189591346,0.384375,0.33231800552134744
15,TfIdf-max_features,SVM,600,-1,0.34875,balanced,balanced,0.37294972019894407,0.34875,0.29920761295904985
16,TfIdf-max_features,RF,600,-1,0.41625,balanced,balanced,0.43576781363293543,0.41625,0.4050123890991359
17,TfIdf-max_features,NB,600,-1,0.374375,balanced,balanced,0.34163317843656743,0.374375,0.31537357563658325
18,TfIdf-max_features,SVM,700,-1,0.38625,balanced,balanced,0.3814031344217409,0.38625,0.35850568367645846
19,TfIdf-max_features,RF,700,-1,0.419375,balanced,balanced,0.4455798303802624,0.419375,0.4087668044906428
20,TfIdf-max_features,NB,700,-1,0.3575,balanced,balanced,0.33051261514643876,0.3575,0.29468080758777143
21,TfIdf-max_features,SVM,800,-1,0.259375,balanced,balanced,0.29293305308243794,0.259375,0.19927046661120165
22,TfIdf-max_features,RF,800,-1,0.405625,balanced,balanced,0.43178225044020624,0.405625,0.396432923032169
23,TfIdf-max_features,NB,800,-1,0.343125,balanced,balanced,0.3151026853575052,0.343125,0.27159306086328544
24,TfIdf-max_features,SVM,900,-1,0.35375,balanced,balanced,0.41157552868392494,0.35375,0.32332163791343566
25,TfIdf-max_features,RF,900,-1,0.41375,balanced,balanced,0.43084318207809313,0.41375,0.4033460427056584
26,TfIdf-max_features,NB,900,-1,0.330625,balanced,balanced,0.3121921492626924,0.330625,0.2544850309709122
27,TfIdf-max_features,SVM,1000,-1,0.310625,balanced,balanced,0.31259013500465654,0.310625,0.2635116182739526
28,TfIdf-max_features,RF,1000,-1,0.406875,balanced,balanced,0.419120834818814,0.406875,0.3963159510893622
29,TfIdf-max_features,NB,1000,-1,0.319375,balanced,balanced,0.29561861432781067,0.319375,0.23845965841658828
30,TfIdf-max_features,SVM,1100,-1,0.318125,balanced,balanced,0.46950139220489445,0.318125,0.2803332657712254
31,TfIdf-max_features,RF,1100,-1,0.404375,balanced,balanced,0.4148332399330272,0.404375,0.39119294497696777
32,TfIdf-max_features,NB,1100,-1,0.31625,balanced,balanced,0.31047293431311623,0.31625,0.23375318301578193
33,TfIdf-max_features,SVM,1200,-1,0.3675,balanced,balanced,0.42971689327237445,0.3675,0.31354987005744567
34,TfIdf-max_features,RF,1200,-1,0.414375,balanced,balanced,0.4378449791287993,0.414375,0.4034119585473174
35,TfIdf-max_features,NB,1200,-1,0.305625,balanced,balanced,0.3015702563908349,0.305625,0.21805953390647329
36,TfIdf-max_features,SVM,1300,-1,0.328125,balanced,balanced,0.43374153028964335,0.328125,0.2618391520853231
37,TfIdf-max_features,RF,1300,-1,0.42,balanced,balanced,0.4464318666213262,0.42,0.4074021241433591
38,TfIdf-max_features,NB,1300,-1,0.3,balanced,balanced,0.29932294906067436,0.3,0.21018572942648717
39,TfIdf-max_features,SVM,1400,-1,0.29625,balanced,balanced,0.5161937719048018,0.29625,0.23682247833939654
40,TfIdf-max_features,RF,1400,-1,0.41375,balanced,balanced,0.43462321907384516,0.41375,0.4018222790554769
41,TfIdf-max_features,NB,1400,-1,0.2975,balanced,balanced,0.3225769043078354,0.2975,0.20782437942462592
42,TfIdf-max_features,SVM,1500,-1,0.3725,balanced,balanced,0.39886867338749105,0.3725,0.3365781211102338
43,TfIdf-max_features,RF,1500,-1,0.4125,balanced,balanced,0.43277408070185364,0.4125,0.4010948819712166
44,TfIdf-max_features,NB,1500,-1,0.28625,balanced,balanced,0.29240609527603284,0.28625,0.19174707268216465
