,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,5,-1,0.2081287726358149,unbalanced,unbalanced,0.39230159671074966,0.20812877263581492,0.2381946834692165
1,TfIdf-max_features,RF,5,-1,0.6052850435949028,unbalanced,unbalanced,0.5638843452189644,0.6052850435949028,0.522156116270828
2,TfIdf-max_features,NB,5,-1,0.4581086519114688,unbalanced,unbalanced,0.4471808656773308,0.4581086519114688,0.41559610061898766
3,TfIdf-max_features,SVM,25,-1,0.4863044936284373,unbalanced,unbalanced,0.452963450107533,0.4863044936284373,0.4250348412873285
4,TfIdf-max_features,RF,25,-1,0.6154258886653253,unbalanced,unbalanced,0.5810262489214549,0.6154258886653253,0.5300472816132432
5,TfIdf-max_features,NB,25,-1,0.3120858484238766,unbalanced,unbalanced,0.4635931420561843,0.3120858484238766,0.361003511143832
6,TfIdf-max_features,SVM,45,-1,0.5687458081824279,unbalanced,unbalanced,0.4216927736150289,0.5687458081824279,0.46020409614291363
7,TfIdf-max_features,RF,45,-1,0.6197987927565393,unbalanced,unbalanced,0.5875373752974246,0.6197987927565393,0.536564445100912
8,TfIdf-max_features,NB,45,-1,0.24203890006706907,unbalanced,unbalanced,0.474699143572179,0.24203890006706907,0.29907966440017353
9,TfIdf-max_features,SVM,65,-1,0.5986049631120054,unbalanced,unbalanced,0.3677086486186259,0.5986049631120054,0.4508324933575812
10,TfIdf-max_features,RF,65,-1,0.6300469483568075,unbalanced,unbalanced,0.6031275091663664,0.6300469483568075,0.5470290658415773
11,TfIdf-max_features,NB,65,-1,0.23015425888665325,unbalanced,unbalanced,0.48566689746991326,0.23015425888665325,0.28349357311156387
12,TfIdf-max_features,SVM,85,-1,0.5997317236753856,unbalanced,unbalanced,0.44440273107843214,0.5997317236753856,0.4564640159519032
13,TfIdf-max_features,RF,85,-1,0.6322199865861837,unbalanced,unbalanced,0.6072655522202404,0.6322199865861837,0.5488945005844745
14,TfIdf-max_features,NB,85,-1,0.21116029510395706,unbalanced,unbalanced,0.4874508577615653,0.21116029510395706,0.26291776034332665
