,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,5,-1,0.2081287726358149,unbalanced,unbalanced,0.39230159671074966,0.20812877263581492,0.2381946834692165
1,TfIdf-max_features,RF,5,-1,0.6052850435949028,unbalanced,unbalanced,0.5638843452189644,0.6052850435949028,0.522156116270828
2,TfIdf-max_features,NB,5,-1,0.4581086519114688,unbalanced,unbalanced,0.4471808656773308,0.4581086519114688,0.41559610061898766
3,TfIdf-max_features,SVM,25,-1,0.4863044936284373,unbalanced,unbalanced,0.452963450107533,0.4863044936284373,0.4250348412873285
4,TfIdf-max_features,RF,25,-1,0.6154258886653253,unbalanced,unbalanced,0.5810262489214549,0.6154258886653253,0.5300472816132432
5,TfIdf-max_features,NB,25,-1,0.3120858484238766,unbalanced,unbalanced,0.4635931420561843,0.3120858484238766,0.361003511143832
6,TfIdf-max_features,SVM,45,-1,0.5687458081824279,unbalanced,unbalanced,0.4216927736150289,0.5687458081824279,0.46020409614291363
7,TfIdf-max_features,RF,45,-1,0.6197987927565393,unbalanced,unbalanced,0.5875373752974246,0.6197987927565393,0.536564445100912
8,TfIdf-max_features,NB,45,-1,0.24203890006706907,unbalanced,unbalanced,0.474699143572179,0.24203890006706907,0.29907966440017353
9,TfIdf-max_features,SVM,65,-1,0.5986049631120054,unbalanced,unbalanced,0.3677086486186259,0.5986049631120054,0.4508324933575812
10,TfIdf-max_features,RF,65,-1,0.6300469483568075,unbalanced,unbalanced,0.6031275091663664,0.6300469483568075,0.5470290658415773
11,TfIdf-max_features,NB,65,-1,0.23015425888665325,unbalanced,unbalanced,0.48566689746991326,0.23015425888665325,0.28349357311156387
12,TfIdf-max_features,SVM,85,-1,0.5997317236753856,unbalanced,unbalanced,0.44440273107843214,0.5997317236753856,0.4564640159519032
13,TfIdf-max_features,RF,85,-1,0.6322199865861837,unbalanced,unbalanced,0.6072655522202404,0.6322199865861837,0.5488945005844745
14,TfIdf-max_features,NB,85,-1,0.21116029510395706,unbalanced,unbalanced,0.4874508577615653,0.21116029510395706,0.26291776034332665
15,TfIdf-max_features,SVM,100,-1,0.42712273641851106,unbalanced,unbalanced,0.4109876640467306,0.427122736418511,0.4136364816924544
16,TfIdf-max_features,RF,100,-1,0.6364587525150905,unbalanced,unbalanced,0.6126842233777188,0.6364587525150905,0.5543067066629376
17,TfIdf-max_features,NB,100,-1,0.20735077129443327,unbalanced,unbalanced,0.4945758342817104,0.20735077129443327,0.25988213508140534
18,TfIdf-max_features,SVM,200,-1,0.3656874580818243,unbalanced,unbalanced,0.47668010191860716,0.3656874580818243,0.34899141541958534
19,TfIdf-max_features,RF,200,-1,0.6419315895372233,unbalanced,unbalanced,0.6332582799235922,0.6419315895372233,0.5567724738629087
20,TfIdf-max_features,NB,200,-1,0.18811535881958416,unbalanced,unbalanced,0.5029509322899955,0.18811535881958416,0.23535006260607874
21,TfIdf-max_features,SVM,300,-1,0.2690543259557344,unbalanced,unbalanced,0.3935879353269187,0.2690543259557344,0.22846839965720375
22,TfIdf-max_features,RF,300,-1,0.6437826961770624,unbalanced,unbalanced,0.64106477017053,0.6437826961770624,0.5566813870485265
23,TfIdf-max_features,NB,300,-1,0.16150234741784036,unbalanced,unbalanced,0.49970529035679834,0.16150234741784036,0.20048253013830236
24,TfIdf-max_features,SVM,400,-1,0.2500067069081154,unbalanced,unbalanced,0.4295022501873143,0.2500067069081154,0.17975978181929556
25,TfIdf-max_features,RF,400,-1,0.64560697518444,unbalanced,unbalanced,0.6506374637691456,0.64560697518444,0.5579658708204633
26,TfIdf-max_features,NB,400,-1,0.1418376928236083,unbalanced,unbalanced,0.5009495555240466,0.1418376928236083,0.17406544832452608
27,TfIdf-max_features,SVM,500,-1,0.2912139503688799,unbalanced,unbalanced,0.48895217023751236,0.2912139503688799,0.2578564620670711
28,TfIdf-max_features,RF,500,-1,0.6474312541918176,unbalanced,unbalanced,0.659627212834321,0.6474312541918176,0.5581162941260547
29,TfIdf-max_features,NB,500,-1,0.12397048960429242,unbalanced,unbalanced,0.5059604240023494,0.12397048960429242,0.14984188481459212
