,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,5,-1,0.104,balanced,balanced,0.06340890008396306,0.104,0.025748496620722684
1,TfIdf-max_features,RF,5,-1,0.178,balanced,balanced,0.17404585157910152,0.178,0.17507634147616075
2,TfIdf-max_features,NB,5,-1,0.156,balanced,balanced,0.15657249353934533,0.156,0.1069520992092782
3,TfIdf-max_features,SVM,25,-1,0.1085,balanced,balanced,0.17254056795131845,0.1085,0.035546469969203146
4,TfIdf-max_features,RF,25,-1,0.199,balanced,balanced,0.19552342397368522,0.199,0.196286663063346
5,TfIdf-max_features,NB,25,-1,0.203,balanced,balanced,0.23372519983299067,0.203,0.17385124294146076
6,TfIdf-max_features,SVM,45,-1,0.1395,balanced,balanced,0.16098280616241956,0.1395,0.07898893323071805
7,TfIdf-max_features,RF,45,-1,0.226,balanced,balanced,0.22129531798029745,0.226,0.2228029195556413
8,TfIdf-max_features,NB,45,-1,0.215,balanced,balanced,0.26585054402140557,0.215,0.19449374155931812
9,TfIdf-max_features,SVM,65,-1,0.24,balanced,balanced,0.3016426730863818,0.24,0.21627382226244862
10,TfIdf-max_features,RF,65,-1,0.2515,balanced,balanced,0.24635651106663264,0.2515,0.2482884841752542
11,TfIdf-max_features,NB,65,-1,0.2295,balanced,balanced,0.2677077505472808,0.2295,0.2084818145733213
12,TfIdf-max_features,SVM,85,-1,0.1515,balanced,balanced,0.5299801027166446,0.1515,0.10375088988759791
13,TfIdf-max_features,RF,85,-1,0.261,balanced,balanced,0.256966623215385,0.261,0.2582071443462529
14,TfIdf-max_features,NB,85,-1,0.235,balanced,balanced,0.2630945500480679,0.235,0.21456368432647083
15,TfIdf-max_features,SVM,100,-1,0.261,balanced,balanced,0.3197140050133404,0.261,0.2632516615051706
16,TfIdf-max_features,RF,100,-1,0.2625,balanced,balanced,0.25647662371678553,0.2625,0.2584491293083933
17,TfIdf-max_features,NB,100,-1,0.237,balanced,balanced,0.2641555419943903,0.237,0.21657807294134196
18,TfIdf-max_features,SVM,300,-1,0.138,balanced,balanced,0.4621119056476391,0.138,0.09027003811642088
19,TfIdf-max_features,RF,300,-1,0.296,balanced,balanced,0.29087800016148124,0.296,0.2925268592134515
20,TfIdf-max_features,NB,300,-1,0.247,balanced,balanced,0.2722016024327089,0.247,0.23170225493531973
21,TfIdf-max_features,SVM,500,-1,0.2895,balanced,balanced,0.3003866517767451,0.2895,0.2622589655039931
22,TfIdf-max_features,RF,500,-1,0.304,balanced,balanced,0.29941520128344984,0.304,0.29964263738823776
23,TfIdf-max_features,NB,500,-1,0.2595,balanced,balanced,0.2854893661011051,0.2595,0.2460163402249648
24,TfIdf-max_features,SVM,700,-1,0.265,balanced,balanced,0.32060268109950874,0.265,0.24394647561760902
25,TfIdf-max_features,RF,700,-1,0.3035,balanced,balanced,0.29670712833471186,0.3035,0.29818265962230445
26,TfIdf-max_features,NB,700,-1,0.261,balanced,balanced,0.2782854496745302,0.261,0.2455182747556239
27,TfIdf-max_features,SVM,900,-1,0.2305,balanced,balanced,0.2780570874169122,0.2305,0.2108364391403922
28,TfIdf-max_features,RF,900,-1,0.3035,balanced,balanced,0.299333795036695,0.3035,0.2984434594857579
29,TfIdf-max_features,NB,900,-1,0.2625,balanced,balanced,0.27116975696683915,0.2625,0.24440837623657277
30,TfIdf-max_features,SVM,1100,-1,0.201,balanced,balanced,0.33639492409259747,0.201,0.16046768519153676
31,TfIdf-max_features,RF,1100,-1,0.3125,balanced,balanced,0.30883856985147423,0.3125,0.30848853236705415
32,TfIdf-max_features,NB,1100,-1,0.2515,balanced,balanced,0.25619945717357095,0.2515,0.23318219284570352
33,TfIdf-max_features,SVM,1300,-1,0.1485,balanced,balanced,0.434676678630747,0.1485,0.11490154721079965
34,TfIdf-max_features,RF,1300,-1,0.317,balanced,balanced,0.31159192829209237,0.317,0.31230913785717945
35,TfIdf-max_features,NB,1300,-1,0.253,balanced,balanced,0.25468195518895187,0.253,0.23299923970996053
