,0,1,2,3,4,5,6,7,8,9
0,0.15,0.26,0.25,0.02,0.06,0.05,0.03,0.1,0.05,0.03
1,0.07,0.08,0.13,0.05,0.02,0.14,0.16,0.02,0.26,0.07
2,0.42,0.01,0.1,0.0,0.03,0.03,0.03,0.24,0.06,0.08
3,0.2,0.0,0.08,0.0,0.01,0.05,0.25,0.12,0.25,0.04
4,0.27,0.0,0.01,0.01,0.01,0.01,0.05,0.42,0.2,0.02
5,0.0,0.9,0.01,0.05,0.0,0.02,0.0,0.0,0.01,0.01
6,0.09,0.1,0.21,0.1,0.03,0.09,0.15,0.03,0.08,0.12
7,0.11,0.026666666666666665,0.05,0.02,0.04333333333333333,0.05,0.0,0.49,0.07,0.14
8,0.39078157953157955,0.13407922632922628,0.0,0.0,0.0,0.0,0.0,0.15474289599289592,0.16847111222111213,0.1519251859251859
9,0.13,0.01,0.1,0.05,0.01,0.09,0.04,0.11,0.09,0.37
10,0.18,0.02,0.07,0.01,0.01,0.08,0.3,0.03,0.2,0.1
11,0.24,0.20916666666666667,0.07733333333333334,0.06,0.02,0.0,0.04,0.07,0.2635,0.02
12,0.28,0.01,0.17,0.0,0.1,0.11,0.04,0.06,0.13,0.1
13,0.2,0.02,0.21,0.02,0.03,0.04,0.24,0.11,0.1,0.03
14,0.05,0.03,0.13,0.0,0.04,0.16,0.05,0.04,0.03,0.47
15,0.46,0.0,0.04,0.0,0.0,0.03,0.15,0.05,0.18,0.09
16,0.03,0.31,0.04,0.29,0.0,0.11,0.0,0.0,0.01,0.21
17,0.79,0.01,0.0,0.01,0.0,0.03,0.01,0.07,0.04,0.04
18,0.22,0.46766666666666673,0.05,0.02,0.14733333333333334,0.03,0.0,0.055,0.01,0.0
19,0.6406666666666666,0.01,0.02,0.07033333333333332,0.0,0.01,0.01,0.12899999999999998,0.08,0.03
20,0.31,0.01,0.05,0.02,0.0,0.05,0.21,0.1,0.19,0.06
21,0.31,0.0,0.08,0.01,0.01,0.01,0.14,0.09,0.25,0.1
22,0.15,0.06,0.33,0.0,0.08,0.05,0.1,0.01,0.06,0.16
23,0.07,0.17,0.17,0.03,0.02,0.19,0.04,0.06,0.15,0.1
24,0.04,0.01,0.13,0.0,0.21,0.07,0.13,0.03,0.03,0.35
25,0.02,0.255,0.07,0.055,0.02,0.11,0.11,0.02,0.26,0.08
26,0.1,0.04,0.07,0.01,0.05,0.04,0.31,0.12,0.22,0.04
27,0.25,0.02,0.04,0.02,0.0,0.03,0.14,0.14,0.26,0.1
28,0.23,0.01,0.02,0.01,0.0,0.01,0.21,0.29,0.18,0.04
29,0.0,0.12,0.15,0.26,0.11,0.23,0.02,0.01,0.02,0.08
30,0.05,0.09,0.05,0.0,0.02,0.03,0.02,0.63,0.09,0.02
31,0.28,0.01,0.05,0.0,0.04,0.0,0.01,0.29233333333333333,0.3076666666666667,0.01
32,0.06,0.06,0.17,0.0,0.12,0.18,0.17,0.06,0.11,0.07
33,0.32,0.01,0.09,0.01,0.02,0.11,0.12,0.12,0.18,0.02
34,0.16,0.03,0.23,0.03,0.05,0.22,0.14,0.01,0.08,0.05
35,0.27,0.01,0.04,0.01,0.0,0.02,0.16,0.25,0.18,0.06
36,0.06,0.04,0.2,0.03,0.05,0.32,0.1,0.01,0.07,0.12
37,0.06,0.01,0.3,0.03,0.1,0.25,0.04,0.01,0.04,0.16
38,0.13,0.15,0.08,0.06,0.02,0.07,0.11,0.13,0.19,0.06
39,0.13,0.01,0.04,0.01,0.04,0.13,0.06,0.42,0.07,0.09
40,0.22,0.02,0.1,0.01,0.03,0.0,0.29,0.06,0.24,0.03
41,0.42,0.06,0.05,0.02,0.02,0.09,0.05,0.18,0.08,0.03
42,0.25,0.01,0.03,0.0,0.0,0.01,0.13,0.31,0.17,0.09
43,0.18,0.0,0.1,0.0,0.02,0.05,0.32,0.09,0.19,0.05
44,0.13,0.0,0.02,0.01,0.01,0.04,0.12,0.38,0.24,0.05
45,0.26,0.03,0.08,0.03,0.0,0.12,0.29,0.04,0.1,0.05
46,0.14,0.05,0.16,0.0,0.04,0.11,0.25,0.08,0.1,0.07
47,0.04,0.25,0.07,0.08,0.05,0.24,0.05,0.03,0.14,0.05
48,0.0,0.010666666666666666,0.45333333333333337,0.19,0.184,0.08199999999999999,0.01,0.0,0.03,0.04
49,0.73,0.0,0.09,0.02,0.02,0.04,0.0,0.03,0.04,0.03
50,0.12,0.02,0.45,0.02,0.09,0.14,0.04,0.04,0.03,0.05
51,0.38,0.01,0.08,0.04,0.0,0.0,0.06,0.1,0.15,0.18
52,0.11,0.01,0.05,0.0,0.01,0.02,0.21,0.36,0.16,0.07
53,0.13,0.14,0.09,0.12,0.06,0.02,0.0,0.41,0.01,0.02
54,0.55,0.0,0.02,0.01,0.0,0.01,0.1,0.08,0.22,0.01
55,0.07,0.01,0.11,0.04,0.02,0.37,0.08,0.04,0.05,0.21
56,0.1,0.01,0.19,0.0,0.01,0.17,0.13,0.08,0.02,0.29
57,0.4,0.0,0.14,0.01,0.0,0.04,0.16,0.05,0.2,0.0
58,0.59,0.0,0.11,0.02,0.02,0.01,0.02,0.04,0.15,0.04
59,0.04,0.08,0.11,0.03,0.0,0.19,0.17,0.1,0.1,0.18
60,0.07,0.09,0.07,0.14,0.1,0.02,0.08,0.02,0.25,0.16
61,0.655,0.0,0.01,0.0,0.03,0.05,0.0,0.105,0.06,0.09
62,0.17,0.01,0.15,0.01,0.01,0.07,0.23,0.07,0.22,0.06
63,0.11,0.0,0.18,0.02,0.02,0.05,0.28,0.09,0.2,0.05
64,0.24,0.02,0.07,0.02,0.01,0.03,0.19,0.13,0.23,0.06
65,0.4454166666666666,0.052333333333333336,0.0,0.01,0.05041666666666667,0.0,0.02,0.05,0.2018333333333333,0.17
66,0.17,0.0,0.08,0.0,0.0,0.04,0.32,0.14,0.2,0.05
67,0.05,0.2,0.15,0.15,0.03,0.17,0.08,0.02,0.08,0.07
68,0.1,0.06,0.16,0.11,0.0,0.11,0.11,0.08,0.17,0.1
69,0.06,0.14,0.12,0.04,0.08,0.28,0.1,0.05,0.08,0.05
70,0.06,0.06,0.12,0.12,0.04,0.17,0.31,0.01,0.11,0.0
71,0.06,0.07,0.2,0.02,0.23,0.12,0.09,0.01,0.08,0.12
72,0.47,0.01,0.06,0.0,0.0,0.03,0.12,0.22,0.06,0.03
73,0.38,0.0,0.01,0.01,0.0,0.04,0.14,0.27,0.09,0.06
74,0.02,0.11,0.1,0.37,0.04833333333333333,0.13,0.04,0.08,0.06,0.04166666666666666
75,0.35,0.0,0.04,0.0,0.0,0.01,0.1,0.31,0.15,0.04
76,0.4757142857142857,0.0,0.08,0.0,0.0,0.01,0.04,0.18285714285714286,0.19,0.02142857142857143
77,0.25,0.04,0.0,0.02,0.06,0.04,0.06,0.42,0.06,0.05
78,0.7,0.03,0.04,0.03,0.0,0.05,0.01,0.03,0.07,0.04
79,0.06,0.048,0.03,0.03,0.11199999999999999,0.29,0.06,0.13,0.15,0.09
80,0.15,0.08,0.16,0.05,0.01,0.07,0.25,0.05,0.11,0.07
81,0.18,0.01,0.04,0.02,0.22,0.26,0.03,0.16,0.05,0.03
82,0.15,0.02,0.25,0.09,0.17,0.02,0.0,0.07,0.11,0.12
83,0.16,0.03,0.26,0.02,0.02,0.07,0.22,0.03,0.12,0.07
