,method,model,n_components,n_neighbors,accuracy,train,test,precision,recall,f1
0,TfIdf-max_features,SVM,5,-1,0.252,unbalanced,unbalanced,0.15622745782431643,0.252,0.12865125896647636
1,TfIdf-max_features,RF,5,-1,0.239,unbalanced,unbalanced,0.21878015196377984,0.239,0.22546280240263442
2,TfIdf-max_features,NB,5,-1,0.1975,unbalanced,unbalanced,0.23806841021413558,0.1975,0.1522047113083509
3,TfIdf-max_features,SVM,25,-1,0.2245,unbalanced,unbalanced,0.3198376136219638,0.2245,0.1422492851717694
4,TfIdf-max_features,RF,25,-1,0.227,unbalanced,unbalanced,0.21413704004914869,0.227,0.21819674144660126
5,TfIdf-max_features,NB,25,-1,0.1065,unbalanced,unbalanced,0.2736963200905262,0.1065,0.09392463085916115
6,TfIdf-max_features,SVM,45,-1,0.0975,unbalanced,unbalanced,0.43823051267817636,0.0975,0.0942782311974264
7,TfIdf-max_features,RF,45,-1,0.2695,unbalanced,unbalanced,0.2560022513321646,0.2695,0.25850567943549535
8,TfIdf-max_features,NB,45,-1,0.1035,unbalanced,unbalanced,0.2339385966715765,0.1035,0.09154667528876698
9,TfIdf-max_features,SVM,65,-1,0.2485,unbalanced,unbalanced,0.23551497465218926,0.2485,0.16557870161581456
10,TfIdf-max_features,RF,65,-1,0.265,unbalanced,unbalanced,0.25388368666196387,0.265,0.2556708239834037
11,TfIdf-max_features,NB,65,-1,0.1155,unbalanced,unbalanced,0.2701568862424437,0.1155,0.1127624562616928
12,TfIdf-max_features,SVM,85,-1,0.2645,unbalanced,unbalanced,0.3492106491687741,0.2645,0.1601817718261327
13,TfIdf-max_features,RF,85,-1,0.271,unbalanced,unbalanced,0.2590564305244288,0.271,0.2605968341939767
14,TfIdf-max_features,NB,85,-1,0.1215,unbalanced,unbalanced,0.2758262737016063,0.1215,0.1184781829801982
